City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Umm Lajj,SA,83.98,clear sky,25.0213,37.2685,Moon light Furnished Units
1,Avarua,CK,77.05,clear sky,-21.2078,-159.775,Paradise Inn
2,Sinnamary,GF,77.97,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
4,Kavieng,PG,84.96,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
7,Saint-Philippe,RE,65.79,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
8,Jamestown,US,65.84,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
9,Kapaa,US,82.38,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
13,Isangel,VU,81.09,few clouds,-19.55,169.2667,Tanna Lodge
15,Santa Helena De Goias,BR,66.92,clear sky,-17.8136,-50.5969,Hotel Pacheco
17,Atuona,PF,77.43,scattered clouds,-9.8,-139.0333,Villa Enata
20,Bethel,US,68.68,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
22,Rikitea,PF,70.21,clear sky,-23.1203,-134.9692,People ThankYou
23,Taksimo,RU,63.72,light rain,56.3444,114.8794,"Gostinitsa ""Viktoriya"""
26,Airai,TL,77.32,broken clouds,-8.9266,125.4092,Juvinal Martin
27,Saint-Francois,FR,69.19,broken clouds,46.4154,3.9054,Manoir Du Bonheur
28,Carnarvon,AU,68.07,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
29,Thompson,CA,61.29,overcast clouds,55.7435,-97.8558,Burntwood Hotel
35,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
36,Mizdah,LY,69.04,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
40,Daru,PG,80.08,overcast clouds,-9.0763,143.2092,Daru Lodge
42,Riachao Das Neves,BR,67.15,broken clouds,-11.7461,-44.91,Casa Costa
50,Ribeira Grande,PT,70.92,broken clouds,38.5167,-28.7,Quinta da Meia Eira
53,Kahului,US,83.46,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
54,Marsa Matruh,EG,78.12,clear sky,31.3525,27.2453,Beau Site
55,Faanui,PF,78.13,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
56,Dongsheng,CN,76.48,clear sky,39.8161,109.9776,Crowne Plaza Ordos
58,Puerto Ayora,EC,71.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
59,Tura,IN,76.84,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
61,Lagoa,PT,69.98,overcast clouds,39.05,-27.9833,Casa Das Faias
62,San Cristobal,VE,66.33,broken clouds,7.7669,-72.225,Posada Villaven C.A.
65,Conceicao Da Barra,BR,66.67,scattered clouds,-18.5933,-39.7322,Cricaré Praia Hotel
67,Eyl,SO,77.07,broken clouds,7.9803,49.8164,Amiin Hotel
70,Moose Factory,CA,69.67,overcast clouds,51.2585,-80.6094,Moosonee Lilypad
71,Messina,IT,79.2,clear sky,38.1933,15.5497,Hotel Touring
75,Le Port,RE,66.2,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
77,Mikuni,JP,84.45,clear sky,36.2171,136.1519,Haiya
78,Busselton,AU,60.04,overcast clouds,-33.65,115.3333,Observatory Guest House
80,Caravelas,BR,69.66,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
81,Guiyang,CN,78.39,broken clouds,26.5833,106.7167,Guo Tai Hotel Guiyang
86,Kamaishi,JP,79.84,broken clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
87,Bambous Virieux,MU,68.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
88,Palestina,PS,69.22,scattered clouds,31.9216,35.2033,Grand Park Hotel
89,Veselynove,UA,61.88,clear sky,47.3567,31.2349,Отель «Колос»
91,Butaritari,KI,83.59,light rain,3.0707,172.7902,Isles Sunset Lodge
93,Panaba,MX,79.5,overcast clouds,21.2833,-88.2667,Posada rosario
98,Beyneu,KZ,83.8,clear sky,45.3167,55.2,NUR
99,Vila Franca Do Campo,PT,70.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
108,Hilo,US,84.27,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
109,Sorong,ID,79.48,moderate rain,-0.8833,131.25,waigo splash hotel
110,Hithadhoo,MV,81.07,broken clouds,-0.6,73.0833,Scoop Guest House
111,Norman Wells,CA,61.45,broken clouds,65.282,-126.8329,Heritage Hotel
113,Honiara,SB,83.68,scattered clouds,-9.4333,159.95,Heritage Park Hotel
114,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
116,Moyale,KE,61.9,overcast clouds,3.5167,39.0584,La Tahzan Guest House
123,Kavaratti,IN,81.64,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
124,Southbridge,US,64.78,scattered clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
125,Lorengau,PG,83.12,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
127,Bridlington,GB,60.28,overcast clouds,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
128,Tommot,RU,62.11,light rain,58.9564,126.2925,Gostinitsa Tommot
129,Maragogi,BR,74.01,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
134,Cabedelo,BR,70.47,clear sky,-6.9811,-34.8339,Hotel Pigalle
136,Dwarka,IN,83.73,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
137,Perth,AU,63.66,broken clouds,-31.9333,115.8333,Beatty Lodge
144,Bakel,SN,84.15,overcast clouds,14.905,-12.4568,Ablaye Diallo Bakel
145,Guiratinga,BR,68.77,clear sky,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
149,Pisco,PE,62.65,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
150,Dingle,PH,84.63,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
152,Fort Nelson,CA,63.18,overcast clouds,58.8053,-122.7002,The Fort Nelson Hotel
153,Broome,US,63.01,clear sky,42.2506,-75.833,Chenango Valley State Park
157,Buchanan,LR,75.97,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
160,Bardiyah,LY,76.21,clear sky,31.7561,25.0865,بورتو بردية
161,Anchorage,US,64.72,light rain,61.2181,-149.9003,Hotel Captain Cook
162,Kyzyl-Suu,KG,72.3,clear sky,42.3414,78.0056,Gostinitsa Nur-Ordo
163,Palembang,ID,78.89,light rain,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
169,Emerald,AU,74.34,clear sky,-23.5333,148.1667,The Irish Village
170,Marawi,PH,83.79,few clouds,7.9986,124.2928,Derogongan Residence
171,Jiaojiang,CN,75.67,light rain,28.6803,121.4428,Jiaojiang Hotel
172,Bengkulu,ID,83.39,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
174,Pacific Grove,US,70.81,broken clouds,36.6177,-121.9166,Lovers Point Inn
175,Galle,LK,80.08,broken clouds,6.0367,80.217,Amangalla
177,Belem De Sao Francisco,BR,67.3,clear sky,-8.7539,-38.9658,Village Hotel
180,Vila Velha,BR,64.35,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
181,Sankt Valentin,AT,61.83,clear sky,48.1667,14.5167,Hotel Zur Post
182,Guerrero Negro,MX,70.7,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
