City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Umm Lajj,SA,25.0213,37.2685,83.98,52,0,3.11,clear sky
1,Avarua,CK,-21.2078,-159.775,77.05,69,0,11.5,clear sky
2,Sinnamary,GF,5.3833,-52.95,77.97,87,65,12.84,broken clouds
3,Graaff-Reinet,ZA,-32.2522,24.5308,33.15,76,0,4.52,clear sky
4,Kavieng,PG,-2.5744,150.7967,84.96,72,100,14.36,overcast clouds
5,Sitka,US,57.0531,-135.33,57.09,82,90,10.36,light rain
6,Cayambe,EC,0.05,-78.1333,49.26,84,100,5.39,overcast clouds
7,Saint-Philippe,RE,-21.3585,55.7679,65.79,71,35,5.48,scattered clouds
8,Jamestown,US,42.097,-79.2353,65.84,69,1,10.36,clear sky
9,Kapaa,US,22.0752,-159.319,82.38,83,90,1.99,moderate rain
10,Nyzhnya Duvanka,UA,49.5846,38.1743,61.7,72,0,4.88,clear sky
11,Aykhal,RU,66.0,111.5,65.19,61,91,15.99,overcast clouds
12,Qaanaaq,GL,77.484,-69.3632,38.95,77,87,1.07,overcast clouds
13,Isangel,VU,-19.55,169.2667,81.09,71,11,1.99,few clouds
14,Ongandjera,NA,-17.8833,15.0667,48.02,16,0,9.86,clear sky
15,Santa Helena De Goias,BR,-17.8136,-50.5969,66.92,49,0,5.53,clear sky
16,Tuatapere,NZ,-46.1333,167.6833,55.81,67,81,4.38,broken clouds
17,Atuona,PF,-9.8,-139.0333,77.43,77,41,10.78,scattered clouds
18,East London,ZA,-33.0153,27.9116,52.29,61,88,3.67,overcast clouds
19,Punta Arenas,CL,-53.15,-70.9167,39.31,81,40,31.07,light rain
20,Bethel,US,41.3712,-73.414,68.68,85,1,4.61,clear sky
21,Anadyr,RU,64.75,177.4833,55.0,87,100,11.01,overcast clouds
22,Rikitea,PF,-23.1203,-134.9692,70.21,56,8,9.4,clear sky
23,Taksimo,RU,56.3444,114.8794,63.72,84,100,4.92,light rain
24,Kitimat,CA,54.0524,-128.6534,59.92,94,100,2.62,light rain
25,Xintai,CN,35.9006,117.7519,85.82,56,35,6.71,scattered clouds
26,Airai,TL,-8.9266,125.4092,77.32,20,57,4.83,broken clouds
27,Saint-Francois,FR,46.4154,3.9054,69.19,100,75,8.05,broken clouds
28,Carnarvon,AU,-24.8667,113.6333,68.07,51,77,16.11,broken clouds
29,Thompson,CA,55.7435,-97.8558,61.29,65,100,10.38,overcast clouds
30,Zheleznodorozhnyy,RU,55.7503,38.0042,58.14,67,43,5.28,scattered clouds
31,Merauke,ID,-8.4667,140.3333,82.44,65,93,11.3,overcast clouds
32,Madimba,TZ,-10.4,40.3333,69.35,82,9,14.36,clear sky
33,New Norfolk,AU,-42.7826,147.0587,54.9,49,95,10.54,overcast clouds
34,Port Lincoln,AU,-34.7333,135.8667,54.55,71,88,32.66,moderate rain
35,Vaini,TO,-21.2,-175.2,80.76,89,20,6.91,few clouds
36,Mizdah,LY,31.4451,12.9801,69.04,63,0,4.65,clear sky
37,Cidreira,BR,-30.1811,-50.2056,59.85,81,0,5.68,clear sky
38,Bitung,ID,1.4451,125.1824,94.05,65,86,15.08,overcast clouds
39,Tateyama,JP,34.9833,139.8667,87.82,70,22,3.91,few clouds
40,Daru,PG,-9.0763,143.2092,80.08,78,100,10.92,overcast clouds
41,Shagonar,RU,51.5333,92.8,71.42,72,100,1.59,overcast clouds
42,Riachao Das Neves,BR,-11.7461,-44.91,67.15,53,52,2.08,broken clouds
43,Georgetown,MY,5.4112,100.3354,88.9,68,20,1.01,few clouds
44,Barra Patuca,HN,15.8,-84.2833,79.09,85,75,8.34,broken clouds
45,Albany,US,42.6001,-73.9662,62.92,87,0,3.69,clear sky
46,Barrow,US,71.2906,-156.7887,37.42,87,90,13.8,overcast clouds
47,Bredasdorp,ZA,-34.5322,20.0403,47.28,78,0,4.72,clear sky
48,Kamskiye Polyany,RU,55.4307,51.4171,61.61,65,73,7.14,broken clouds
49,Upernavik,GL,72.7868,-56.1549,38.55,97,100,11.88,overcast clouds
50,Ribeira Grande,PT,38.5167,-28.7,70.92,95,84,7.72,broken clouds
51,Cherskiy,RU,68.75,161.3,53.15,57,93,11.05,overcast clouds
52,Ati,TD,13.2154,18.3353,80.22,62,10,5.82,clear sky
53,Kahului,US,20.8947,-156.47,83.46,75,40,26.46,scattered clouds
54,Marsa Matruh,EG,31.3525,27.2453,78.12,63,0,15.61,clear sky
55,Faanui,PF,-16.4833,-151.75,78.13,67,26,12.35,scattered clouds
56,Dongsheng,CN,39.8161,109.9776,76.48,49,5,15.43,clear sky
57,Lebu,CL,-37.6167,-73.65,48.78,82,100,8.55,overcast clouds
58,Puerto Ayora,EC,-0.7393,-90.3518,71.55,87,60,1.99,broken clouds
59,Tura,IN,25.5198,90.2201,76.84,90,88,8.84,overcast clouds
60,Lusambo,CD,-4.9667,23.45,65.48,45,0,1.95,clear sky
61,Lagoa,PT,39.05,-27.9833,69.98,95,94,12.08,overcast clouds
62,San Cristobal,VE,7.7669,-72.225,66.33,98,84,3.8,broken clouds
63,Port Alfred,ZA,-33.5906,26.891,50.11,68,41,6.33,scattered clouds
64,Ushuaia,AR,-54.8,-68.3,31.84,90,57,4.18,broken clouds
65,Conceicao Da Barra,BR,-18.5933,-39.7322,66.67,85,38,4.41,scattered clouds
66,Constitucion,CL,-35.3333,-72.4167,51.71,83,91,5.28,overcast clouds
67,Eyl,SO,7.9803,49.8164,77.07,70,61,27.04,broken clouds
68,Ukiah,US,39.1502,-123.2078,89.65,31,0,3.51,clear sky
