City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Luderitz,-26.6481,15.1594,55.17,88,91,14.76,NA,2021-07-20 03:29:37
1,Karwar,14.8,74.1333,79.7,83,44,14.47,IN,2021-07-20 03:29:38
2,Puerto Escondido,15.85,-97.0667,85.03,65,75,0.0,MX,2021-07-20 03:29:38
3,Pisco,-13.7,-76.2167,62.65,82,90,6.91,PE,2021-07-20 03:29:39
4,Hithadhoo,-0.6,73.0833,81.5,72,84,5.91,MV,2021-07-20 03:29:39
5,Nome,64.5011,-165.4064,59.16,94,90,3.44,US,2021-07-20 03:29:39
6,Georgetown,5.4112,100.3354,87.73,74,20,1.01,MY,2021-07-20 03:29:40
7,Sudak,44.85,34.9667,80.22,61,0,1.79,UA,2021-07-20 03:29:40
8,Barrow,71.2906,-156.7887,46.42,87,90,6.91,US,2021-07-20 03:29:41
9,Grand Gaube,-20.0064,57.6608,70.38,64,0,5.99,MU,2021-07-20 03:29:41
10,Ribeira Grande,38.5167,-28.7,70.12,90,97,24.11,PT,2021-07-20 03:29:41
11,Pevek,69.7008,170.3133,37.63,82,6,11.21,RU,2021-07-20 03:29:42
12,Bluff,-46.6,168.3333,47.8,72,100,9.57,NZ,2021-07-20 03:29:42
13,Punta Arenas,-53.15,-70.9167,41.11,81,40,31.07,CL,2021-07-20 03:29:42
14,Severo-Kurilsk,50.6789,156.125,51.78,94,99,6.58,RU,2021-07-20 03:29:43
15,Rio Grande,-32.035,-52.0986,39.94,86,0,10.85,BR,2021-07-20 03:29:43
16,Llanes,43.4198,-4.7549,63.86,64,0,4.92,ES,2021-07-20 03:29:44
17,Chicama,-7.8447,-79.1469,64.69,82,5,4.36,PE,2021-07-20 03:29:44
18,Airai,-8.9266,125.4092,74.21,42,30,4.72,TL,2021-07-20 03:29:44
19,Khatanga,71.9667,102.5,53.87,81,100,3.24,RU,2021-07-20 03:29:45
20,Cape Town,-33.9258,18.4232,53.11,85,75,3.0,ZA,2021-07-20 03:29:45
21,Esperance,-33.8667,121.9,55.24,71,100,14.99,AU,2021-07-20 03:29:45
22,Kavieng,-2.5744,150.7967,83.86,71,98,8.5,PG,2021-07-20 03:29:46
23,Lubango,-14.9172,13.4925,54.32,68,8,4.29,AO,2021-07-20 03:29:46
24,Cao Bang,22.6667,106.25,76.21,97,100,1.19,VN,2021-07-20 03:29:47
25,Nikolskoye,59.7035,30.7861,62.49,83,6,5.97,RU,2021-07-20 03:29:47
26,Hobart,-42.8794,147.3294,48.92,66,75,1.01,AU,2021-07-20 03:28:23
27,Shurugwi,-19.6702,30.0059,40.37,82,1,2.42,ZW,2021-07-20 03:29:48
28,Grindavik,63.8424,-22.4338,52.27,100,90,8.05,IS,2021-07-20 03:29:48
29,Mataura,-46.1927,168.8643,47.48,79,100,3.15,NZ,2021-07-20 03:29:49
30,Mahebourg,-20.4081,57.7,70.25,73,40,16.11,MU,2021-07-20 03:29:50
31,Draguignan,43.5333,6.4667,74.79,74,5,2.3,FR,2021-07-20 03:29:31
32,Arraial Do Cabo,-22.9661,-42.0278,65.79,57,26,27.6,BR,2021-07-20 03:29:51
33,Nicoya,10.1483,-85.452,81.95,83,100,4.85,CR,2021-07-20 03:29:51
34,Quime,-16.9833,-67.2167,45.1,90,100,2.08,BO,2021-07-20 03:29:51
35,Ushuaia,-54.8,-68.3,37.06,87,40,2.3,AR,2021-07-20 03:26:56
36,Hilo,19.7297,-155.09,80.33,72,20,5.75,US,2021-07-20 03:29:53
37,Rikitea,-23.1203,-134.9692,70.99,69,100,26.11,PF,2021-07-20 03:29:53
38,Tuktoyaktuk,69.4541,-133.0374,69.8,60,20,5.75,CA,2021-07-20 03:29:53
39,New Plymouth,-39.0667,174.0833,56.05,82,54,7.36,NZ,2021-07-20 03:29:54
40,Ajdabiya,30.7554,20.2263,74.82,76,0,6.38,LY,2021-07-20 03:29:54
41,Sorong,-0.8833,131.25,83.71,71,81,2.51,ID,2021-07-20 03:29:55
42,Gat,31.61,34.7642,77.68,78,7,3.49,IL,2021-07-20 03:29:55
43,Jiuquan,39.7432,98.5174,86.81,22,81,11.25,CN,2021-07-20 03:29:55
44,Busselton,-33.65,115.3333,57.04,76,100,17.56,AU,2021-07-20 03:29:56
45,Miraflores,19.2167,-98.8083,62.02,81,27,4.03,MX,2021-07-20 03:29:56
46,Avarua,-21.2078,-159.775,78.85,78,40,8.05,CK,2021-07-20 03:29:56
47,Kapaa,22.0752,-159.319,85.98,75,20,3.0,US,2021-07-20 03:27:41
48,Mar Del Plata,-38.0023,-57.5575,49.08,68,0,4.0,AR,2021-07-20 03:29:57
49,Gonderange,49.6889,6.2483,56.05,91,0,4.61,LU,2021-07-20 03:29:57
50,Plettenberg Bay,-34.0527,23.3716,55.58,86,100,5.1,ZA,2021-07-20 03:29:58
51,Sasykoli,47.5515,46.9968,86.77,32,29,5.75,RU,2021-07-20 03:29:58
52,Almaznyy,48.0448,40.045,71.74,42,16,3.51,RU,2021-07-20 03:29:58
53,Manado,1.487,124.8455,93.97,49,40,2.3,ID,2021-07-20 03:28:30
54,Albany,42.6001,-73.9662,69.26,95,22,4.38,US,2021-07-20 03:29:59
55,Lalibela,12.0333,39.0333,59.47,85,96,0.89,ET,2021-07-20 03:30:00
56,Jamestown,42.097,-79.2353,69.44,85,40,4.0,US,2021-07-20 03:25:18
57,Castro,-24.7911,-50.0119,36.7,61,40,2.93,BR,2021-07-20 03:30:01
58,Mahmudabad,27.3,81.1167,82.36,84,99,2.19,IN,2021-07-20 03:30:02
59,Makakilo City,21.3469,-158.0858,86.32,58,75,12.66,US,2021-07-20 03:30:06
60,Baruun-Urt,46.6806,113.2792,89.69,31,12,6.13,MN,2021-07-20 03:30:07
61,Dikson,73.5069,80.5464,40.03,80,61,9.08,RU,2021-07-20 03:30:08
62,Hermanus,-34.4187,19.2345,51.91,83,100,1.52,ZA,2021-07-20 03:30:09
63,San Borja,-14.8167,-66.85,59.58,63,92,3.71,BO,2021-07-20 03:30:09
64,Contamana,-7.3333,-75.0167,66.07,97,79,1.68,PE,2021-07-20 03:30:09
65,Vaini,-21.2,-175.2,82.56,83,20,5.75,TO,2021-07-20 03:30:11
66,Cambuci,-21.5753,-41.9111,61.48,76,81,1.23,BR,2021-07-20 03:30:11
67,Port Alfred,-33.5906,26.891,57.78,86,100,7.67,ZA,2021-07-20 03:30:12
68,Klaksvik,62.2266,-6.589,49.12,93,98,5.46,FO,2021-07-20 03:30:12
69,Saskylakh,71.9167,114.0833,58.69,69,99,12.95,RU,2021-07-20 03:30:13
70,Thompson,55.7435,-97.8558,57.36,77,20,0.0,CA,2021-07-20 03:30:14
71,Cidreira,-30.1811,-50.2056,48.27,81,73,13.06,BR,2021-07-20 03:30:14
72,Popova,42.9603,131.7228,82.49,91,57,8.01,RU,2021-07-20 03:30:15
73,Malanje,-9.5402,16.341,58.62,43,8,3.09,AO,2021-07-20 03:30:15
74,Ubinskoye,55.3068,79.6802,66.99,69,97,5.93,RU,2021-07-20 03:30:16
75,Urozhaynoye,44.7883,44.9228,85.08,36,0,2.04,RU,2021-07-20 03:30:16
76,El Alto,-4.2714,-81.2147,62.89,86,13,13.6,PE,2021-07-20 03:30:16
77,Papa,47.33,17.4674,63.43,88,0,6.91,HU,2021-07-20 03:30:17
78,Boralday,43.3578,76.8594,82.26,26,40,6.71,KZ,2021-07-20 03:30:17
79,Devonport,-41.1667,146.35,50.09,66,100,14.58,AU,2021-07-20 03:25:40
80,New Norfolk,-42.7826,147.0587,48.58,64,99,1.01,AU,2021-07-20 03:30:18
81,Marzuq,14.4,46.4667,72.28,81,100,3.18,YE,2021-07-20 03:30:19
82,Ithaca,42.4406,-76.4966,72.19,94,20,0.0,US,2021-07-20 03:29:57
83,Sembakung,3.8167,117.25,87.73,55,27,1.61,ID,2021-07-20 03:30:19
84,Sitka,57.0531,-135.33,62.49,72,75,17.27,US,2021-07-20 03:30:20
85,Tasiilaq,65.6145,-37.6368,41.16,98,100,7.34,GL,2021-07-20 03:30:20
86,Goes,51.5042,3.8889,61.45,88,16,4.0,NL,2021-07-20 03:30:21
87,San Rafael,-34.6177,-68.3301,50.81,21,5,7.36,AR,2021-07-20 03:30:21
88,Tevaitoa,-16.7833,-151.5,78.53,77,86,23.73,PF,2021-07-20 03:30:21
89,Victoria,22.2855,114.1577,80.58,96,100,16.75,HK,2021-07-20 03:26:38
90,Katsuura,35.1333,140.3,89.71,68,9,8.01,JP,2021-07-20 03:30:22
91,Morehead,37.2711,-87.1764,74.14,86,1,0.0,US,2021-07-20 03:30:22
92,Buala,-8.145,159.5921,84.24,71,99,7.85,SB,2021-07-20 03:30:23
93,Fortuna,40.5982,-124.1573,58.93,87,90,3.0,US,2021-07-20 03:30:23
94,Cherskiy,68.75,161.3,62.28,38,100,8.46,RU,2021-07-20 03:30:24
95,Carnarvon,-24.8667,113.6333,77.07,74,90,17.27,AU,2021-07-20 03:30:24
96,Vila,42.0304,-8.1588,59.74,93,76,0.11,PT,2021-07-20 03:30:25
97,Jeremoabo,-10.075,-38.4808,68.18,97,88,6.6,BR,2021-07-20 03:30:25
98,Zhuhai,22.2769,113.5678,80.31,89,75,10.36,CN,2021-07-20 03:26:23
99,Verkh-Usugli,52.7,115.1667,69.55,65,91,8.14,RU,2021-07-20 03:30:26
100,Saint-Augustin,51.226,-58.6502,59.2,97,99,6.53,CA,2021-07-20 03:30:26
101,Butaritari,3.0707,172.7902,81.66,78,100,12.84,KI,2021-07-20 03:30:27
102,Lagunas,-5.2269,-75.6753,70.52,98,85,2.37,PE,2021-07-20 03:30:27
103,Lompoc,34.6391,-120.4579,77.77,91,1,8.05,US,2021-07-20 03:30:27
104,Korla,41.7597,86.1469,81.45,32,23,8.03,CN,2021-07-20 03:30:28
105,Puerto Ayora,-0.7393,-90.3518,72.55,92,73,5.01,EC,2021-07-20 03:30:29
106,Carrefour,18.5411,-72.3992,84.38,65,100,18.41,HT,2021-07-20 03:30:29
107,Port Moresby,-9.4431,147.1797,85.42,62,75,4.61,PG,2021-07-20 03:30:30
108,Morondava,-20.2833,44.2833,69.57,71,64,4.85,MG,2021-07-20 03:30:31
109,Kodiak,57.79,-152.4072,65.71,63,1,10.36,US,2021-07-20 03:30:32
110,Tucuman,-26.8241,-65.2226,42.8,75,0,8.05,AR,2021-07-20 03:30:32
111,Coihaique,-45.5752,-72.0662,42.75,93,40,2.3,CL,2021-07-20 03:30:33
112,Saldanha,-33.0117,17.9442,51.85,77,100,21.83,ZA,2021-07-20 03:30:33
113,Jilin,43.0,126.0,85.24,59,35,6.17,CN,2021-07-20 03:30:34
114,Jaisalmer,26.9147,70.9181,86.11,67,96,25.01,IN,2021-07-20 03:30:34
115,Iqaluit,63.7506,-68.5145,46.13,71,90,4.61,CA,2021-07-20 03:29:49
116,Oranjestad,12.524,-70.027,82.35,78,20,16.11,AW,2021-07-20 03:30:35
117,Sola,-13.8833,167.55,84.87,79,40,0.0,VU,2021-07-20 03:30:35
118,Bethel,41.3712,-73.414,70.92,90,6,2.46,US,2021-07-20 03:30:35
119,Half Moon Bay,37.4636,-122.4286,77.41,80,20,11.5,US,2021-07-20 03:30:36
120,Port Elizabeth,-33.918,25.5701,55.69,88,0,4.61,ZA,2021-07-20 03:26:25
121,Laredo,27.5064,-99.5075,89.89,58,20,8.05,US,2021-07-20 03:30:30
122,Cabo San Lucas,22.8909,-109.9124,88.81,70,16,9.24,MX,2021-07-20 03:30:37
123,Clyde River,70.4692,-68.5914,37.63,81,90,3.44,CA,2021-07-20 03:30:37
124,Kirovskiy,45.0917,133.5136,93.16,42,99,1.86,RU,2021-07-20 03:30:38
125,Kushiro,42.975,144.3747,83.35,74,75,6.91,JP,2021-07-20 03:30:38
126,Saint George,37.1041,-113.5841,86.47,48,1,4.0,US,2021-07-20 03:25:41
127,Flagstaff,35.1981,-111.6513,69.8,77,20,0.0,US,2021-07-20 03:25:56
128,Turukhansk,65.8167,87.9833,60.51,50,0,9.24,RU,2021-07-20 03:30:39
129,Bonavista,48.6499,-53.1147,60.8,84,100,11.86,CA,2021-07-20 03:30:39
130,Hun,29.1268,15.9477,74.98,56,3,2.75,LY,2021-07-20 03:30:41
131,Canto Do Buriti,-8.11,-42.9444,74.46,43,0,4.12,BR,2021-07-20 03:30:41
132,Nelson Bay,-32.7167,152.15,59.95,53,34,4.0,AU,2021-07-20 03:30:42
133,Sorland,67.667,12.6934,49.35,83,100,28.23,NO,2021-07-20 03:30:42
134,Saint-Joseph,-21.3667,55.6167,68.38,75,42,16.71,RE,2021-07-20 03:30:43
135,Hot Springs,34.5037,-93.0552,74.7,86,11,1.99,US,2021-07-20 03:26:41
136,Yarmouth,41.7057,-70.2286,70.97,93,75,5.99,US,2021-07-20 03:30:45
137,Upernavik,72.7868,-56.1549,40.62,98,100,13.91,GL,2021-07-20 03:30:45
138,Deputatskiy,69.3,139.9,66.22,54,43,21.65,RU,2021-07-20 03:30:45
139,Carsamba,41.1989,36.7219,78.55,94,75,2.3,TR,2021-07-20 03:30:46
140,Darhan,49.4867,105.9228,71.73,57,68,1.61,MN,2021-07-20 03:30:46
141,Mogadishu,2.0371,45.3438,77.11,81,99,18.68,SO,2021-07-20 03:30:47
142,San Patricio,28.017,-97.5169,84.92,78,100,9.53,US,2021-07-20 03:30:47
143,Shache,38.4167,77.2406,73.35,50,100,3.8,CN,2021-07-20 03:30:47
